thread_count,gsm,tensile_strength,shrinkage_percent,color_fastness,fabric_thickness,defect_count,elongation_percent,moisture_absorption,fabric_type,weave_type,finish_type,production_method,inspection_time_minutes,machine_temperature,fabric_quality
166.0,383.0,67.77268260864915,7.744704049950375,1,0.8918650109186979,11,31.299227586147328,12.855776884152515,2,2,2,0,45.95728855214211,28.148867853423464,1
273.0,107.0,106.50868247131318,1.1912724875707426,1,0.8723796793657493,4,8.092515471065386,7.224688616538931,2,1,0,0,33.03598190215298,42.03328227932704,0
274.0,352.0,97.10041023227762,5.274222840636516,3,1.231905937447576,3,24.134907407234422,12.276678892991017,3,1,1,0,35.76849326239116,35.45092300762731,0
213.0,200.0,17.8766595730076,4.001214071898298,1,0.320100038824047,12,18.334478601383665,14.732113965309091,1,2,1,1,38.34927353876967,23.459327091876823,1
115.0,348.0,62.74601273838057,2.5298633835795874,2,0.9037250439906256,14,6.396909153977013,11.692512381526502,0,0,1,1,44.339097267433424,33.87342572789581,1
260.0,387.0,62.4647711923836,2.092396463701878,3,0.8997259867968601,0,21.027233739657024,11.43961212132504,0,2,2,0,57.96768712669034,26.61954887829261,0
193.0,390.0,44.54685185764761,5.8738627781246855,1,1.0704682268794563,5,25.631420441227636,11.032972946802635,1,2,1,1,17.803687849534867,44.270253031456,2
248.0,370.0,50.60020097537647,4.968459019458437,1,0.1862842117516707,12,22.814084912861848,11.422064159075116,0,0,0,0,56.62095898666726,28.931483619307013,1
95.0,91.0,21.106485516808892,1.6947541536998982,4,0.4000650465554243,14,6.868279018552418,9.054425485124128,2,2,0,0,29.929684087000958,42.86456016080591,0
280.0,286.0,98.7688200600902,2.411648785098776,5,1.4966081079984628,8,20.97351593629991,12.68110259348764,1,2,2,0,12.096194661903272,44.43095567094274,0
246.0,132.0,109.4738583402602,3.778016676150304,3,0.8115496399320987,1,23.080407967793604,5.777028600850981,4,2,2,0,39.33741644062103,33.064362829016645,0
92.0,382.0,31.950040226900978,6.162398236713803,5,1.025174175097029,1,30.81648674713259,14.879108046604834,3,2,1,1,33.26348008480255,42.24773979254502,1
213.0,192.0,49.720825717504965,1.8307066696721768,4,1.4412753650177557,4,24.425901321699747,8.093767989722519,0,2,0,1,39.38048698715719,43.12552886862446,0
111.0,245.0,76.6792631842551,2.956356115804809,1,0.9807934418022612,5,7.52185828013962,13.275429977415218,3,1,0,0,42.10104212193338,35.0695990342481,2
145.0,309.0,67.77268260864915,4.801299759600671,2,0.3331158729825142,1,14.022555459789416,4.210059464699366,0,2,1,1,39.23947809191562,26.276501113967026,0
213.0,234.0,94.03393517029122,6.928901408423828,5,0.4148583808827952,7,36.95980346452205,14.257884593001794,0,2,1,1,42.76612232491526,37.94103329005189,0
204.0,243.0,33.35468506555412,7.475388953242323,4,0.5035743404500587,14,35.39996460152129,5.740154389424732,1,1,2,1,37.31715745604517,28.19368764730281,1
324.0,221.0,74.207296205241,4.799148433458773,1,0.8356980619982616,0,10.763510490610347,8.779045620971416,1,0,2,1,28.671330221338582,40.32379995790173,0
177.0,237.0,81.0024673815155,3.5550337725733905,4,0.4932462212673717,3,35.41001878646179,11.36179244207495,2,0,1,0,23.123581289678796,27.375526190874872,0
188.0,115.0,24.02912255163609,1.101998348783258,5,1.0834159274947908,0,33.14827071613777,5.378106326894683,1,1,1,1,46.902379322880535,33.48879371285418,0
318.0,105.0,16.243173732240255,5.357680731225269,2,0.7985142434065585,9,13.662009991645297,5.411686419725542,1,1,1,0,5.104746716933147,35.40970535236259,1
162.0,380.0,45.82214403017094,2.712674440937116,3,0.9476175254291748,7,35.39509962564697,14.28296943777844,3,2,0,0,11.320091507006667,39.37128538647234,2
274.0,120.0,84.16967480305382,1.8401307639517368,4,1.2164317300438732,1,30.311148070509965,3.4307575204446352,4,0,0,1,5.082004353091073,28.57313638270934,0
111.0,147.0,28.169769902182352,6.647677933828882,3,0.8015017241172923,4,11.421141194026536,9.465314975874112,0,0,2,1,16.51618707073743,26.937530618442707,1
136.0,130.0,63.095018234588345,2.723356266392424,2,1.130698210958644,5,31.54522128806557,10.537869911486812,4,0,1,0,5.425873783887944,29.483110042874596,2
309.0,367.0,67.77268260864915,1.4068233267747023,3,0.2963298808370874,7,7.630992600826921,13.804849781633829,1,1,2,1,43.70233449651544,23.792354846912907,0
120.0,133.0,84.47087843688568,2.701331532307091,1,0.7939931000513722,2,18.38993001973045,12.02050295984864,0,1,2,0,12.949745555643164,41.31177168096392,0
